<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,250513,000000,311.24
SBER,D,250514,000000,304.21
SBER,D,250515,000000,304.72
SBER,D,250516,000000,306.34
SBER,D,250517,000000,308.89
SBER,D,250518,000000,311.15
SBER,D,250519,000000,308.33
SBER,D,250520,000000,306.16
SBER,D,250521,000000,303.98
SBER,D,250522,000000,302.66
SBER,D,250523,000000,302.22
SBER,D,250526,000000,297.77
SBER,D,250527,000000,298.7
SBER,D,250528,000000,308.47
SBER,D,250529,000000,306.65
SBER,D,250530,000000,309.3
SBER,D,250531,000000,308.74
SBER,D,250601,000000,303.14
SBER,D,250602,000000,309.63
SBER,D,250603,000000,313.55
SBER,D,250604,000000,313.23
SBER,D,250605,000000,317.96
SBER,D,250606,000000,313.13
SBER,D,250607,000000,314.65
SBER,D,250608,000000,314.35
SBER,D,250609,000000,311.17
SBER,D,250610,000000,308.68
SBER,D,250611,000000,312
SBER,D,250613,000000,310.2
SBER,D,250614,000000,310.29
SBER,D,250615,000000,310.09
SBER,D,250616,000000,311.5
SBER,D,250617,000000,313.56
SBER,D,250618,000000,313.38
SBER,D,250619,000000,312.46
SBER,D,250620,000000,309.7
SBER,D,250623,000000,310.17
SBER,D,250624,000000,311.37
SBER,D,250625,000000,313.78
SBER,D,250626,000000,312.84
SBER,D,250627,000000,315.18
SBER,D,250628,000000,315.31
SBER,D,250629,000000,315.95
SBER,D,250630,000000,316.15
SBER,D,250701,000000,318.42
SBER,D,250702,000000,319.43
SBER,D,250703,000000,319.17
SBER,D,250704,000000,319.44
SBER,D,250705,000000,319.55
SBER,D,250706,000000,319.37
SBER,D,250707,000000,313.5
SBER,D,250708,000000,309.71
SBER,D,250709,000000,310.09
SBER,D,250710,000000,314.01
SBER,D,250711,000000,309.88
SBER,D,250712,000000,310.2
SBER,D,250713,000000,309.44
SBER,D,250714,000000,317.97
SBER,D,250715,000000,319.99
SBER,D,250716,000000,321.58
SBER,D,250717,000000,327.05
SBER,D,250718,000000,309
SBER,D,250719,000000,312.42
SBER,D,250720,000000,312.58
SBER,D,250721,000000,310.4
SBER,D,250722,000000,310.67
SBER,D,250723,000000,313.08
SBER,D,250724,000000,310.83
SBER,D,250725,000000,308.93
SBER,D,250726,000000,308.91
SBER,D,250727,000000,308.83
SBER,D,250728,000000,303.97
SBER,D,250729,000000,305.26
SBER,D,250730,000000,303.3
SBER,D,250731,000000,304.95
SBER,D,250801,000000,304.22
SBER,D,250804,000000,307.95
SBER,D,250805,000000,307.38
SBER,D,250806,000000,310.22
SBER,D,250807,000000,313.43
SBER,D,250808,000000,317.97
SBER,D,250811,000000,317.82
SBER,D,250812,000000,318
SBER,D,250813,000000,317.51
SBER,D,250814,000000,318.73
SBER,D,250815,000000,319.4
SBER,D,250816,000000,315.17
SBER,D,250817,000000,314.97
SBER,D,250818,000000,318.38
SBER,D,250819,000000,316.5
SBER,D,250820,000000,314.17
SBER,D,250821,000000,309.98
SBER,D,250822,000000,312.05
SBER,D,250823,000000,312.3
SBER,D,250824,000000,311.84
SBER,D,250825,000000,311.42
SBER,D,250826,000000,311.79
SBER,D,250827,000000,312.78
SBER,D,250828,000000,310.82
SBER,D,250829,000000,310.04
SBER,D,250830,000000,309.92
SBER,D,250831,000000,310.99
SBER,D,250901,000000,309.2
SBER,D,250902,000000,308.44
SBER,D,250903,000000,309.49
SBER,D,250904,000000,308.74
SBER,D,250905,000000,310.5
SBER,D,250906,000000,310.13
SBER,D,250907,000000,310.69
SBER,D,250908,000000,312.83
SBER,D,250909,000000,313.06
SBER,D,250910,000000,309.76
SBER,D,250911,000000,307.11
SBER,D,250912,000000,303.5
SBER,D,250913,000000,302.84
SBER,D,250914,000000,303.97
SBER,D,250915,000000,302.48
SBER,D,250916,000000,301.8
SBER,D,250917,000000,304.5
SBER,D,250918,000000,301.68
SBER,D,250919,000000,294.84
SBER,D,250922,000000,298.05
SBER,D,250923,000000,291.6
SBER,D,250924,000000,293.31
SBER,D,250925,000000,289.9
SBER,D,250926,000000,291.33
SBER,D,250927,000000,291.69
SBER,D,250928,000000,291.08
SBER,D,250929,000000,287.57
SBER,D,250930,000000,288.36
SBER,D,251001,000000,286.4
SBER,D,251002,000000,285.22
SBER,D,251003,000000,282.91
SBER,D,251004,000000,280.4
SBER,D,251005,000000,281.99
SBER,D,251006,000000,290.56
SBER,D,251007,000000,293.89
SBER,D,251008,000000,281.9
SBER,D,251009,000000,289.37
SBER,D,251010,000000,285.12
SBER,D,251011,000000,285.16
SBER,D,251012,000000,286.81
SBER,D,251013,000000,285.39
SBER,D,251014,000000,283.3
SBER,D,251015,000000,283.74
SBER,D,251016,000000,302.91
SBER,D,251017,000000,300.91
SBER,D,251018,000000,304.18
SBER,D,251019,000000,303.03
SBER,D,251020,000000,304
SBER,D,251021,000000,295.47
SBER,D,251022,000000,290.02
SBER,D,251023,000000,291.8
SBER,D,251024,000000,287.55
SBER,D,251027,000000,283.17
SBER,D,251028,000000,289.46
SBER,D,251029,000000,290.5
SBER,D,251030,000000,296.12
SBER,D,251031,000000,291.89
SBER,D,251101,000000,293.7
SBER,D,251103,000000,298.04
SBER,D,251105,000000,295.7
SBER,D,251106,000000,294.27
SBER,D,251107,000000,296.84
SBER,D,251108,000000,297.93
SBER,D,251109,000000,297.97
SBER,D,251110,000000,300.46
SBER,D,251111,000000,301.12
SBER,D,251112,000000,299.09
SBER,D,251113,000000,299.09
SBER,D,251114,000000,297.44
SBER,D,251115,000000,297.17
SBER,D,251116,000000,297
SBER,D,251117,000000,294.68
SBER,D,251118,000000,299.44
SBER,D,251119,000000,304.75
SBER,D,251120,000000,307.89
SBER,D,251121,000000,306.7
SBER,D,251124,000000,305.87
SBER,D,251125,000000,306.6
SBER,D,251126,000000,304.96
SBER,D,251127,000000,299.53
SBER,D,251128,000000,304.17
SBER,D,251129,000000,303.88
SBER,D,251130,000000,305.23
SBER,D,251201,000000,305.2
SBER,D,251202,000000,303.77
