<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,220513,000000,120.2
SBER,D,220516,000000,123.41
SBER,D,220517,000000,127.75
SBER,D,220518,000000,125.12
SBER,D,220519,000000,125.6
SBER,D,220520,000000,122.2
SBER,D,220523,000000,119.46
SBER,D,220524,000000,123.6
SBER,D,220525,000000,124.15
SBER,D,220526,000000,123
SBER,D,220527,000000,121.22
SBER,D,220530,000000,120.67
SBER,D,220531,000000,118.3
SBER,D,220601,000000,121.97
SBER,D,220602,000000,119
SBER,D,220603,000000,119.21
SBER,D,220606,000000,118.78
SBER,D,220607,000000,118.32
SBER,D,220608,000000,119.9
SBER,D,220609,000000,118.2
SBER,D,220610,000000,118.07
SBER,D,220614,000000,118.98
SBER,D,220615,000000,121.14
SBER,D,220616,000000,123.73
SBER,D,220617,000000,123.88
SBER,D,220620,000000,131.29
SBER,D,220621,000000,129.1
SBER,D,220622,000000,133.11
SBER,D,220623,000000,136.85
SBER,D,220624,000000,137.76
SBER,D,220627,000000,141.15
SBER,D,220628,000000,139.99
SBER,D,220629,000000,132.8
SBER,D,220630,000000,125.2
SBER,D,220701,000000,129.91
SBER,D,220704,000000,131.43
SBER,D,220705,000000,133.5
SBER,D,220706,000000,134
SBER,D,220707,000000,133.09
SBER,D,220708,000000,133.3
SBER,D,220711,000000,126.8
SBER,D,220712,000000,129
SBER,D,220713,000000,126
SBER,D,220714,000000,125.9
SBER,D,220715,000000,128.9
SBER,D,220718,000000,128.11
SBER,D,220719,000000,127.76
SBER,D,220720,000000,126.44
SBER,D,220721,000000,125.48
SBER,D,220722,000000,128.82
SBER,D,220725,000000,131.45
SBER,D,220726,000000,132.9
SBER,D,220727,000000,132.5
SBER,D,220728,000000,131.72
SBER,D,220729,000000,131.9
SBER,D,220801,000000,127.34
SBER,D,220802,000000,127.53
SBER,D,220803,000000,126.85
SBER,D,220804,000000,126.95
SBER,D,220805,000000,122.4
SBER,D,220808,000000,123.81
SBER,D,220809,000000,126.4
SBER,D,220810,000000,126.2
SBER,D,220811,000000,123.45
SBER,D,220812,000000,124.88
SBER,D,220815,000000,125
SBER,D,220816,000000,126.39
SBER,D,220817,000000,124.5
SBER,D,220818,000000,126.3
SBER,D,220819,000000,125.2
SBER,D,220822,000000,126.06
SBER,D,220823,000000,130.38
SBER,D,220824,000000,128.15
SBER,D,220825,000000,128.18
SBER,D,220826,000000,130.4
SBER,D,220829,000000,131.17
SBER,D,220830,000000,130.05
SBER,D,220831,000000,134.25
SBER,D,220901,000000,138.2
SBER,D,220902,000000,143.8
SBER,D,220905,000000,141
SBER,D,220906,000000,137.23
SBER,D,220907,000000,136.86
SBER,D,220908,000000,134.51
SBER,D,220909,000000,138.15
SBER,D,220912,000000,138.7
SBER,D,220913,000000,137
SBER,D,220914,000000,138.9
SBER,D,220915,000000,139.48
SBER,D,220916,000000,137.73
SBER,D,220919,000000,138.04
SBER,D,220920,000000,125.1
SBER,D,220921,000000,120.23
SBER,D,220922,000000,124.31
SBER,D,220923,000000,119.39
SBER,D,220926,000000,107.06
SBER,D,220927,000000,112.92
SBER,D,220928,000000,111.06
SBER,D,220929,000000,110.41
SBER,D,220930,000000,110.21
SBER,D,221003,000000,114.35
SBER,D,221004,000000,110.55
SBER,D,221005,000000,108.51
SBER,D,221006,000000,108.24
SBER,D,221007,000000,101.5
SBER,D,221010,000000,106.71
SBER,D,221011,000000,107.72
SBER,D,221012,000000,105.9
SBER,D,221013,000000,106.5
SBER,D,221014,000000,107.78
SBER,D,221017,000000,112.44
SBER,D,221018,000000,110.88
SBER,D,221019,000000,112.39
SBER,D,221020,000000,116.98
SBER,D,221021,000000,119.45
SBER,D,221024,000000,118.8
SBER,D,221025,000000,124.36
SBER,D,221026,000000,124.43
SBER,D,221027,000000,126.61
SBER,D,221028,000000,126.97
SBER,D,221031,000000,126.72
SBER,D,221101,000000,127.05
